rank,major_category,mean_lifetime_roi_usd,median_lifetime_roi_usd,p25_roi_usd,p75_roi_usd,pct_never_breakeven,median_breakeven_age,completion_adjusted_roi_usd,dropout_roi_usd,graduates,programs,source,vintage
1,Philosophy and Religious Studies,-111915,-81669,-259353,106067,59.8,38,-125604,-122019,20114,439,FREOPP Higher Education ROI,2021
2,Visual Arts and Music,-68014,-92704,-234228,62317,67.9,38,-98340,-124237,167416,2146,FREOPP Higher Education ROI,2021
3,Psychology,68424,63059,-14443,145973,27.9,41,681,-110988,183922,1238,FREOPP Higher Education ROI,2021
4,Life Sciences and Biology,106017,104063,-38440,242910,31.5,39,29097,-113952,130420,1558,FREOPP Higher Education ROI,2021
5,Education,121114,126853,5765,225657,23.1,36,28030,-107597,172453,1632,FREOPP Higher Education ROI,2021
6,"English, Liberal Arts, and Humanities",144506,124276,-18026,265637,27.5,37,51026,-111641,179107,2021,FREOPP Higher Education ROI,2021
7,Social Sciences excluding Economics,183047,157959,40916,286429,19.1,36,102454,-113127,184110,2376,FREOPP Higher Education ROI,2021
8,Miscellaneous,189612,124545,-17052,343903,30.1,35,78295,-106545,162405,1743,FREOPP Higher Education ROI,2021
9,Public Administration and Human Services,199831,166271,58300,294687,15.6,36,55477,-107736,251657,2190,FREOPP Higher Education ROI,2021
10,Communications and Journalism,228465,239246,65369,384020,16.5,33,124733,-113987,196380,1463,FREOPP Higher Education ROI,2021
11,Agriculture and Natural Resources,303357,267348,82483,477211,15.8,33,178214,-106636,62977,876,FREOPP Higher Education ROI,2021
12,Physical Sciences,404220,390901,202053,574308,6.8,33,253899,-110957,26514,688,FREOPP Higher Education ROI,2021
13,Business and Management,578915,533050,347986,748626,1.5,30,319817,-117892,681089,4428,FREOPP Higher Education ROI,2021
14,Mathematics and Statistics,593764,517327,328715,760506,3.2,30,439580,-118451,26245,576,FREOPP Higher Education ROI,2021
15,Economics,638790,511467,316772,815647,2.1,30,516086,-125747,48052,440,FREOPP Higher Education ROI,2021
16,Health and Nursing,775786,802488,474708,1069818,6.8,27,412684,-115175,401246,2285,FREOPP Higher Education ROI,2021
17,"Transportation, Construction, and Architecture",816671,772566,548343,1057231,0.8,29,489337,-120259,20784,277,FREOPP Higher Education ROI,2021
18,Computer and Information Sciences,936339,873705,604829,1183459,2.5,27,587275,-120467,123543,1140,FREOPP Higher Education ROI,2021
19,Engineering,1132553,1125922,943430,1312427,0,26,787512,-118867,208317,2183,FREOPP Higher Education ROI,2021
